AG [mm],RPM [rpm],Time [ms],brake [NewtonMeter]
3.934383552,300,30,10.11117505
3.934383552,350,0,0.00424304
3.934383552,350,1,5.477591977
3.934383552,350,2,8.219326956
3.934383552,350,3,9.550643834
3.934383552,350,4,10.47899996
3.934383552,350,5,10.99337191
3.934383552,350,6,11.33861995
3.934383552,350,7,11.5585778
3.934383552,350,8,11.61253949
3.934383552,350,9,11.73371205
3.934383552,350,10,11.73379038
3.934383552,350,11,11.74798316
3.934383552,350,12,11.73038224
3.934383552,350,13,11.78191864
3.934383552,350,14,11.77918206
3.934383552,350,15,11.72094778
3.934383552,350,16,11.63004935
3.934383552,350,17,11.60785902
3.934383552,350,18,11.60173802
3.934383552,350,19,11.55464858
3.934383552,350,20,11.55974964
3.934383552,350,21,11.52461786
3.934383552,350,22,11.50283846
3.934383552,350,23,11.48986743
3.934383552,350,24,11.52753953
3.934383552,350,25,11.42286434
3.934383552,350,26,11.42550499
3.934383552,350,27,11.35595096
3.934383552,350,28,11.39112728
3.934383552,350,29,11.38216992
3.934383552,350,30,11.42465075
3.934383552,400,0,0.00424304
3.934383552,400,1,6.253137145
3.934383552,400,2,9.340891024
3.934383552,400,3,10.83187568
3.934383552,400,4,11.7994949
3.934383552,400,5,12.41663567
3.934383552,400,6,12.7400963
3.934383552,400,7,12.87916631
3.934383552,400,8,13.01782074
3.934383552,400,9,13.03374428
3.934383552,400,10,13.0234445
3.934383552,400,11,13.02944509
3.934383552,400,12,13.06798332
3.934383552,400,13,12.9995258
3.934383552,400,14,12.90671862
3.934383552,400,15,12.86136947
3.934383552,400,16,12.83795637
3.934383552,400,17,12.76986304
3.934383552,400,18,12.77283485
3.934383552,400,19,12.68777173
3.934383552,400,20,12.69993933
3.934383552,400,21,12.73152325
3.934383552,400,22,12.61967093
3.934383552,400,23,12.6130393
3.934383552,400,24,12.55625931
3.934383552,400,25,12.55265225
3.934383552,400,26,12.6193771
3.934383552,400,27,12.55349233
3.934383552,400,28,12.53684783
3.934383552,400,29,12.60402325
3.934383552,400,30,12.57261195
3.934383552,450,0,0.00424304
3.934383552,450,1,7.037784685
3.934383552,450,2,10.38846844
3.934383552,450,3,12.10287158
3.934383552,450,4,13.12620076
3.934383552,450,5,13.70868001
3.934383552,450,6,13.99637037
3.934383552,450,7,14.19109839
3.934383552,450,8,14.22217928
3.934383552,450,9,14.20253859
3.934383552,450,10,14.21892607
3.934383552,450,11,14.19838196
3.934383552,450,12,14.09781354
3.934383552,450,13,14.02690681
3.934383552,450,14,13.95852648
3.934383552,450,15,13.89101063
3.934383552,450,16,13.87480442
3.934383552,450,17,13.79826396
3.934383552,450,18,13.7812763
3.934383552,450,19,13.75026517
3.934383552,450,20,13.6768582
3.934383552,450,21,13.62362641
3.934383552,450,22,13.64231505
3.934383552,450,23,13.67840756
3.934383552,450,24,13.61794593
3.934383552,450,25,13.60630773
3.934383552,450,26,13.6643516
3.934383552,450,27,13.6335658
3.934383552,450,28,13.64693648
3.934383552,450,29,13.53864341
3.934383552,450,30,13.61702507
3.934383552,500,0,0.00424304
3.934383552,500,1,7.796648606
3.934383552,500,2,11.37603553
3.934383552,500,3,13.30252321
3.934383552,500,4,14.38562394
3.934383552,500,5,14.96020263
3.934383552,500,6,15.23010212
3.934383552,500,7,15.31240064
3.934383552,500,8,15.3268763
3.934383552,500,9,15.30850681
3.934383552,500,10,15.23520426
3.934383552,500,11,15.11566307
3.934383552,500,12,15.01815709
3.934383552,500,13,14.94934012
3.934383552,500,14,14.87107535
3.934383552,500,15,14.73775169
3.934383552,500,16,14.7424023
3.934383552,500,17,14.73266795
3.934383552,500,18,14.62885233
3.934383552,500,19,14.56848343
3.934383552,500,20,14.58348487
3.934383552,500,21,14.64983493
3.934383552,500,22,14.58685009
3.934383552,500,23,14.59419584
3.934383552,500,24,14.58171268
3.934383552,500,25,14.58504676
3.934383552,500,26,14.50524953
3.934383552,500,27,14.56959943
3.934383552,500,28,14.60417491
3.934383552,500,29,14.64532699
3.934383552,500,30,14.62819139
3.934383552,550,0,0.00424304
3.934383552,550,1,8.536431744
3.934383552,550,2,12.36991801
3.934383552,550,3,14.43168599
3.934383552,550,4,15.54467814
3.934383552,550,5,16.05925453
3.934383552,550,6,16.31915538
3.934383552,550,7,16.34676362
3.934383552,550,8,16.31256603
3.934383552,550,9,16.26235717
3.934383552,550,10,16.08024665
3.934383552,550,11,15.95590934
3.934383552,550,12,15.8339464
3.934383552,550,13,15.7361314
3.934383552,550,14,15.63202089
3.934383552,550,15,15.63910231
3.934383552,550,16,15.47250616
3.934383552,550,17,15.42803797
3.934383552,550,18,15.39399347
3.934383552,550,19,15.43944779
3.934383552,550,20,15.40366472
3.934383552,550,21,15.42150205
3.934383552,550,22,15.42299953
3.934383552,550,23,15.42832772
3.934383552,550,24,15.32895803
3.934383552,550,25,15.42382343
3.934383552,550,26,15.51853899
3.934383552,550,27,15.45332953
3.934383552,550,28,15.50817525
3.934383552,550,29,15.55984061
3.934383552,550,30,15.49090509
3.934383552,573,0,0.00424304
3.934383552,573,1,8.867258494
3.934383552,573,2,12.83991205
3.934383552,573,3,14.96531353
3.934383552,573,4,16.05835446
3.934383552,573,5,16.570422
3.934383552,573,6,16.78305628
3.934383552,573,7,16.78389302
3.934383552,573,8,16.74903063
3.934383552,573,9,16.57936954
3.934383552,573,10,16.42753362
3.934383552,573,11,16.27216407
3.934383552,573,12,16.1532731
3.934383552,573,13,16.0153892
3.934383552,573,14,15.95027867
3.934383552,573,15,15.90020491
3.934383552,573,16,15.80467635
3.934383552,573,17,15.72905342
3.934383552,573,18,15.775676
3.934383552,573,19,15.73017833
3.934383552,573,20,15.75486443
3.934383552,573,21,15.75128376
3.934383552,573,22,15.77163317
3.934383552,573,23,15.65828375
3.934383552,573,24,15.75886367
3.934383552,573,25,15.8632349
3.934383552,573,26,15.80419264
3.934383552,573,27,15.86155783
3.934383552,573,28,15.90553733
3.934383552,573,29,15.83692049
3.934383552,573,30,15.82311278
